
/OVRP/500p3v.ovrp	RKO	1	46.480693	46.480693	46.480693	99.637	109.462
/OVRP/500p5v.ovrp	RKO	1	46.943211	46.943211	46.943211	101.504	110.573
/OVRP/100p1v.ovrp	RKO	1	5.301187	5.301187	5.301187	34.042	100.253
/OVRP/100p3v.ovrp	RKO	1	5.372761	5.372761	5.372761	43.230	100.294
/OVRP/100p5v.ovrp	RKO	1	5.170302	5.170302	5.170302	59.094	100.295
/OVRP/100p1v.ovrp	RKO	1	5.492174	5.492174	5.492174	44.567	100.230
/OVRP/100p3v.ovrp	RKO	1	5.310882	5.310882	5.310882	96.598	100.328
/OVRP/100p5v.ovrp	RKO	1	5.439274	5.439274	5.439274	17.781	100.692
/OVRP/300p1v.ovrp	RKO	1	13.244582	13.244582	13.244582	102.453	103.171
/OVRP/300p3v.ovrp	RKO	1	12.976971	12.976971	12.976971	79.758	102.948
/OVRP/300p5v.ovrp	RKO	1	12.431319	12.431319	12.431319	101.984	102.122
/OVRP/500p1v.ovrp	RKO	1	22.194123	22.194123	22.194123	107.317	108.568
/OVRP/500p3v.ovrp	RKO	1	23.067505	23.067505	23.067505	107.888	109.533
/OVRP/500p5v.ovrp	RKO	1	22.907346	22.907346	22.907346	103.627	108.275
/OVRP/100p1v.ovrp	RKO	1	11.736229	11.736229	11.736229	74.315	100.159
/OVRP/100p3v.ovrp	RKO	1	11.344799	11.344799	11.344799	94.470	100.248
/OVRP/100p5v.ovrp	RKO	1	11.468278	11.468278	11.468278	35.538	100.185
/OVRP/300p1v.ovrp	RKO	1	32.835449	32.835449	32.835449	93.656	102.687
/OVRP/300p3v.ovrp	RKO	1	31.878163	31.878163	31.878163	100.720	102.657
/OVRP/300p5v.ovrp	RKO	1	32.790978	32.790978	32.790978	97.406	102.170
/OVRP/500p1v.ovrp	RKO	1	55.553569	55.553569	55.553569	107.649	111.387
/OVRP/500p3v.ovrp	RKO	1	54.972529	54.972529	54.972529	108.871	110.574
/OVRP/500p5v.ovrp	RKO	1	54.916929	54.916929	54.916929	108.578	108.842
/OVRP/100p1v.ovrp	RKO	1	21.492220	21.492220	21.492220	74.299	100.187
/OVRP/100p3v.ovrp	RKO	1	21.356215	21.356215	21.356215	36.282	100.174
/OVRP/100p5v.ovrp	RKO	1	21.181713	21.181713	21.181713	23.279	100.181
/OVRP/300p1v.ovrp	RKO	1	62.642664	62.642664	62.642664	101.734	102.245
/OVRP/300p3v.ovrp	RKO	1	62.759109	62.759109	62.759109	100.761	102.581
/OVRP/300p5v.ovrp	RKO	1	62.963704	62.963704	62.963704	96.419	102.617
/OVRP/500p1v.ovrp	RKO	1	102.743375	102.743375	102.743375	95.096	109.389
/OVRP/500p3v.ovrp	RKO	1	103.427607	103.427607	103.427607	109.777	111.196
/OVRP/500p5v.ovrp	RKO	1	103.266385	103.266385	103.266385	109.371	109.776
/OVRP/100p1v.ovrp	RKO	1	30.962738	30.962738	30.962738	27.290	100.240
/OVRP/100p3v.ovrp	RKO	1	30.898657	30.898657	30.898657	71.795	100.235
/OVRP/100p5v.ovrp	RKO	1	30.874563	30.874563	30.874563	84.413	100.248
/OVRP/300p1v.ovrp	RKO	1	93.293321	93.293321	93.293321	100.205	102.649
/OVRP/300p3v.ovrp	RKO	1	93.225883	93.225883	93.225883	102.315	102.755
/OVRP/300p5v.ovrp	RKO	1	93.160195	93.160195	93.160195	102.081	102.635
/OVRP/500p1v.ovrp	RKO	1	151.248211	151.248211	151.248211	108.019	110.316
/OVRP/500p3v.ovrp	RKO	1	151.232741	151.232741	151.232741	105.310	107.754
/OVRP/500p5v.ovrp	RKO	1	151.569764	151.569764	151.569764	85.226	108.120
/OVRP/100p1v.ovrp	RKO	1	37.337879	37.337879	37.337879	2.743	100.234
/OVRP/100p3v.ovrp	RKO	1	37.337879	37.337879	37.337879	2.577	100.243
/OVRP/100p5v.ovrp	RKO	1	37.337879	37.337879	37.337879	64.209	100.270
/OVRP/300p1v.ovrp	RKO	1	113.429697	113.429697	113.429697	50.106	102.758
/OVRP/300p3v.ovrp	RKO	1	113.429697	113.429697	113.429697	64.416	102.657
/OVRP/300p5v.ovrp	RKO	1	113.429697	113.429697	113.429697	22.475	102.721
/OVRP/500p1v.ovrp	RKO	1	183.538485	183.538485	183.538485	74.988	110.480
/OVRP/500p3v.ovrp	RKO	1	183.538485	183.538485	183.538485	84.165	109.381
/OVRP/500p5v.ovrp	RKO	1	183.538485	183.538485	183.538485	47.598	106.555
